id,STATE,TOTAL STATE GENERATED REVENUE NGN,NET FACC ALLLOCATION NGN, TOTAL REVENUE AVAILABLE NGN,TOTAL EXTERNAL DEBT ($),TOTAL DOMESTIC DEBT NGN,NOMINAL GDP NGN
1,ABIA,"6,204,876,665.62","49,510,206,574.39","55,715,083,240.01","98,582,798.91","67,017,185,656.92",NA
2,ADAMAWA ,"24,210,810,102.72","202,365,072,519.99","226,575,882,622.71","97,790,423.73","89,659,119,455.46",NA
3,AKWA IBOM ,"19,305,267,646.94","55,249,945,897.31","74,555,213,544.25","45,657,647.14","198,663,229,326.07","5,141,068"
4,ANAMBRA ,"9,690,832,177.58","54,020,849,574.37","63,711,681,751.95","107,041,487.48","33,490,668,536.72","3,079,167"
5,BAUCHI ,"13,636,545,716.78","153,104,866,273.55","166,741,411,990.33","133,930,757.08","92,367,170,606.61","1,641,327"
6,BAYELSA ,"11,215,482,725.16","55,441,078,188.72","66,656,560,913.88","56,623,178.71","130,043,473,800.97",NA
7,BENUE ,"6,524,300,904.06","63,271,702,953.51","69,796,003,857.57","39,610,851.64","97,347,605,190.14",NA
8,BORNO ,"17,552,112,937.09","36,954,686,823.13","54,506,799,760.22","21,618,240.11","68,381,705,608.58",NA
9,CROSS RIVER ,"58,439,598,672.31","213,634,192,630.29","272,073,791,302.60","188,773,736.81","167,955,848,722.32","2,314,949"
10,DELTA ,"6,144,587,065.65","44,955,009,442.29","51,099,596,507.94","63,286,948.43","228,805,996,159.83","4,057,812"
11,EBONYI ,"28,425,496,842.23","69,169,646,683.36","97,595,143,525.59","66,653,026.12","55,597,352,310.28","1,327,104"
12,EDO ,"6,465,374,250.65","39,325,661,893.63","45,791,036,144.28","276,253,922.96","86,820,254,212.61","2,342,758"
13,EKITI ,"22,145,937,216.00","53,104,455,149.92","75,250,392,365.92","106,208,598.19","118,011,414,814.34","1,390,020"
14,ENUGU ,"7,343,549,621.53","43,808,127,576.80","51,151,677,198.33","126,177,662.23","55,032,067,848.83",NA
15,GOMBE ,"14,884,271,810.31","54,181,645,137.52","69,065,916,947.83","37,406,069.57","63,337,930,142.60","1,239,249"
16,IMO ,"9,246,250,836.03","60,327,926,310.65","69,574,177,146.68","59,515,586.62","98,782,494,271.48",NA
17,JIGAWA ,"29,446,386,924.74","68,849,941,237.76","98,296,328,162.50","32,008,444.77","35,163,169,800.26","1,431,567"
18,KADUNA ,"44,107,375,284.25","84,205,898,067.21","128,313,273,351.46","227,252,685.58","84,637,112,775.54","2,691,446"
19,KANO ,"6,961,870,329.00","61,651,483,460.57","68,613,353,789.57","63,409,069.74","117,082,317,490.54","2,974,429"
20,KATSINA ,"4,881,961,005.78","54,580,176,454.58","59,462,137,460.36","62,133,706.90","30,852,661,159.10",NA
21,KEBBI ,"11,334,113,743.55","53,376,978,657.33","64,711,092,400.88","45,605,534.73","67,442,333,186.56",NA
22,KOGI ,"23,046,944,295.60","44,573,231,265.18","67,620,175,560.78","31,584,158.36","84,922,376,449.78","1,817,777"
23,KWARA ,"382,181,548,627.13","119,024,027,795.54","501,205,576,422.67","48,599,040.43","59,135,900,168.96",NA
24,LAGOS ,"7,566,920,656.91","47,550,214,527.97","55,117,135,184.88","1,426,428,935.47","530,243,773,934.40",NA
25,NASARAWA ,"10,432,190,956.63","57,521,609,575.96","67,953,800,532.59","59,183,665.51","85,363,486,609.87",NA
26,NIGER ,"84,554,199,593.67","39,644,151,088.39","124,198,350,682.06","61,345,344.97","41,831,488,692.26","2,606,186"
27,OGUN ,"24,788,059,725.53","64,686,727,822.91","89,474,787,548.44","103,256,042.18","98,716,941,494.10","2,810,277"
28,ONDO,"10,381,663,677.98","22,837,305,434.54","33,218,969,112.52","79,854,005.14","49,123,506,028.25","2,933,433"
29,OSUN,"24,635,074,074.49","59,289,159,988.50","83,924,234,062.99","99,085,406.37","148,101,237,664.94","1,469,983"
30,OYO,"12,726,479,548.41","43,885,148,418.59","56,611,627,967.00","104,997,383.47","91,515,756,366.15","2,506,754"
31,PLATEAU,"112,780,373,912.23","172,627,019,316.69","285,407,393,228.92","28,874,208.63","100,366,504,576.83",NA
32,RIVERS**,"18,762,009,020.05","54,460,056,835.47","73,222,065,855.52","78,278,786.10","225,592,469,150.22","5,110,584"
33,SOKOTO,"5,968,809,583.11","47,877,801,462.16","53,846,611,045.27","39,218,901.04","38,604,705,528.74",NA
34,TARABA,"4,382,259,456.05","52,874,949,262.92","57,257,208,718.97","21,611,262.68","61,508,573,011.13",NA
35,YOBE,23046944296,"40,831,825,094.60","73,222,065,855.52","27,486,482.07","27,772,599,253.39",NA
36,ZAMFARA,"10,381,663,677.98","40,831,825,094.60","33,218,969,112.52","33,524,208.01","59,900,241,661.65","1,100,458"
